0001,Apple Party,G Bloggs,SPOILED
0002,Abolish exams!,J Smith,VALID
0003,Abolish exams!,J Smith,SPOILED
0004,Rampant Vikings,T Thunderson,VALID
0005,Apple Party,G Bloggs,SPOILED
0006,Rampant Vikings,T Thunderson,VALID
0007,Apple Party,G Bloggs,VALID
0008,Abolish exams!,J Smith,VALID
0009,Party against Homework,A N Other,VALID
0010,Abolish exams!,J Smith,SPOILED
0011,Apple Party,G Bloggs,VALID
0012,Apple Party,G Bloggs,VALID
0013,Rampant Vikings,T Thunderson,SPOILED
0014,Abolish exams!,J Smith,SPOILED
0015,Party against Homework,A N Other,VALID
0016,Rampant Vikings,T Thunderson,SPOILED
0017,Apple Party,G Bloggs,SPOILED
0018,Party against Homework,A N Other,VALID
0019,Abolish exams!,J Smith,VALID
0020,Party against Homework,A N Other,SPOILED
0021,Abolish exams!,J Smith,VALID
0022,Party against Homework,A N Other,SPOILED
0023,Apple Party,G Bloggs,VALID
0024,Apple Party,G Bloggs,SPOILED
0025,Rampant Vikings,T Thunderson,VALID
0026,Apple Party,G Bloggs,SPOILED
0027,Rampant Vikings,T Thunderson,VALID
0028,Abolish exams!,J Smith,VALID
0029,Party against Homework,A N Other,SPOILED
0030,Abolish exams!,J Smith,SPOILED
0031,Party against Homework,A N Other,SPOILED
0032,Abolish exams!,J Smith,VALID
0033,Abolish exams!,J Smith,SPOILED
0034,Abolish exams!,J Smith,VALID
0035,Rampant Vikings,T Thunderson,VALID
0036,Abolish exams!,J Smith,SPOILED
0037,Rampant Vikings,T Thunderson,VALID
0038,Party against Homework,A N Other,SPOILED
0039,Apple Party,G Bloggs,SPOILED
0040,Apple Party,G Bloggs,VALID
0041,Apple Party,G Bloggs,VALID
0042,Party against Homework,A N Other,VALID
0043,Abolish exams!,J Smith,VALID
0044,Apple Party,G Bloggs,VALID
0045,Rampant Vikings,T Thunderson,VALID
0046,Abolish exams!,J Smith,SPOILED
0047,Abolish exams!,J Smith,VALID
0048,Abolish exams!,J Smith,SPOILED
0049,Apple Party,G Bloggs,SPOILED
0050,Abolish exams!,J Smith,SPOILED
0051,Party against Homework,A N Other,VALID
0052,Apple Party,G Bloggs,SPOILED
0053,Party against Homework,A N Other,SPOILED
0054,Apple Party,G Bloggs,SPOILED
0055,Rampant Vikings,T Thunderson,SPOILED
0056,Rampant Vikings,T Thunderson,SPOILED
0057,Apple Party,G Bloggs,VALID
0058,Party against Homework,A N Other,SPOILED
0059,Apple Party,G Bloggs,SPOILED
0060,Apple Party,G Bloggs,SPOILED
0061,Apple Party,G Bloggs,SPOILED
0062,Rampant Vikings,T Thunderson,SPOILED
0063,Apple Party,G Bloggs,VALID
0064,Apple Party,G Bloggs,VALID
0065,Abolish exams!,J Smith,VALID
0066,Rampant Vikings,T Thunderson,SPOILED
0067,Abolish exams!,J Smith,SPOILED
0068,Abolish exams!,J Smith,SPOILED
0069,Rampant Vikings,T Thunderson,VALID
0070,Party against Homework,A N Other,VALID
0071,Abolish exams!,J Smith,VALID
0072,Abolish exams!,J Smith,VALID
0073,Party against Homework,A N Other,VALID
0074,Abolish exams!,J Smith,VALID
0075,Rampant Vikings,T Thunderson,SPOILED
0076,Apple Party,G Bloggs,SPOILED
0077,Rampant Vikings,T Thunderson,SPOILED
0078,Party against Homework,A N Other,SPOILED
0079,Rampant Vikings,T Thunderson,VALID
0080,Party against Homework,A N Other,VALID
0081,Party against Homework,A N Other,VALID
0082,Rampant Vikings,T Thunderson,SPOILED
0083,Party against Homework,A N Other,SPOILED
0084,Abolish exams!,J Smith,VALID
0085,Rampant Vikings,T Thunderson,SPOILED
0086,Party against Homework,A N Other,VALID
0087,Party against Homework,A N Other,VALID
0088,Rampant Vikings,T Thunderson,SPOILED
0089,Abolish exams!,J Smith,VALID
0090,Rampant Vikings,T Thunderson,VALID
0091,Apple Party,G Bloggs,SPOILED
0092,Abolish exams!,J Smith,SPOILED
0093,Abolish exams!,J Smith,SPOILED
0094,Party against Homework,A N Other,SPOILED
0095,Abolish exams!,J Smith,VALID
0096,Abolish exams!,J Smith,VALID
0097,Abolish exams!,J Smith,SPOILED
0098,Abolish exams!,J Smith,VALID
0099,Abolish exams!,J Smith,SPOILED
0100,Abolish exams!,J Smith,SPOILED
