1,Abolish exams!,J Smith,SPOILED
2,Apple Party,G Bloggs,VALID
3,Rampant Vikings,T Thunderson,VALID
4,Party against Homework,A N Other,VALID
5,Abolish exams!,J Smith,VALID
6,Party against Homework,A N Other,SPOILED
7,Apple Party,G Bloggs,VALID
8,Party against Homework,A N Other,SPOILED
9,Apple Party,G Bloggs,VALID
10,Party against Homework,A N Other,SPOILED
11,Party against Homework,A N Other,SPOILED
12,Party against Homework,A N Other,SPOILED
13,Apple Party,G Bloggs,SPOILED
14,Abolish exams!,J Smith,SPOILED
15,Apple Party,G Bloggs,VALID
16,Rampant Vikings,T Thunderson,SPOILED
17,Party against Homework,A N Other,SPOILED
18,Rampant Vikings,T Thunderson,VALID
19,Party against Homework,A N Other,VALID
20,Apple Party,G Bloggs,VALID
21,Rampant Vikings,T Thunderson,SPOILED
22,Abolish exams!,J Smith,VALID
23,Abolish exams!,J Smith,SPOILED
24,Apple Party,G Bloggs,VALID
25,Party against Homework,A N Other,VALID
26,Apple Party,G Bloggs,VALID
27,Apple Party,G Bloggs,VALID
28,Rampant Vikings,T Thunderson,VALID
29,Apple Party,G Bloggs,SPOILED
30,Abolish exams!,J Smith,SPOILED
31,Apple Party,G Bloggs,SPOILED
32,Abolish exams!,J Smith,SPOILED
33,Apple Party,G Bloggs,VALID
34,Party against Homework,A N Other,SPOILED
35,Party against Homework,A N Other,VALID
36,Apple Party,G Bloggs,SPOILED
37,Apple Party,G Bloggs,SPOILED
38,Abolish exams!,J Smith,VALID
39,Rampant Vikings,T Thunderson,SPOILED
40,Rampant Vikings,T Thunderson,VALID
41,Party against Homework,A N Other,VALID
42,Party against Homework,A N Other,VALID
43,Rampant Vikings,T Thunderson,VALID
44,Rampant Vikings,T Thunderson,SPOILED
45,Rampant Vikings,T Thunderson,SPOILED
46,Abolish exams!,J Smith,SPOILED
47,Party against Homework,A N Other,VALID
48,Party against Homework,A N Other,VALID
49,Abolish exams!,J Smith,SPOILED
50,Abolish exams!,J Smith,SPOILED
51,Apple Party,G Bloggs,VALID
52,Rampant Vikings,T Thunderson,SPOILED
53,Party against Homework,A N Other,VALID
54,Abolish exams!,J Smith,SPOILED
55,Party against Homework,A N Other,VALID
56,Rampant Vikings,T Thunderson,VALID
57,Rampant Vikings,T Thunderson,VALID
58,Apple Party,G Bloggs,SPOILED
59,Abolish exams!,J Smith,VALID
60,Rampant Vikings,T Thunderson,SPOILED
61,Rampant Vikings,T Thunderson,SPOILED
62,Rampant Vikings,T Thunderson,SPOILED
63,Rampant Vikings,T Thunderson,SPOILED
64,Rampant Vikings,T Thunderson,VALID
65,Abolish exams!,J Smith,VALID
66,Party against Homework,A N Other,SPOILED
67,Apple Party,G Bloggs,VALID
68,Party against Homework,A N Other,SPOILED
69,Rampant Vikings,T Thunderson,SPOILED
70,Rampant Vikings,T Thunderson,SPOILED
71,Rampant Vikings,T Thunderson,VALID
72,Apple Party,G Bloggs,VALID
73,Abolish exams!,J Smith,SPOILED
74,Abolish exams!,J Smith,VALID
75,Abolish exams!,J Smith,VALID
76,Rampant Vikings,T Thunderson,VALID
77,Abolish exams!,J Smith,SPOILED
78,Party against Homework,A N Other,SPOILED
79,Party against Homework,A N Other,VALID
80,Abolish exams!,J Smith,VALID
81,Apple Party,G Bloggs,SPOILED
82,Abolish exams!,J Smith,SPOILED
83,Abolish exams!,J Smith,SPOILED
84,Party against Homework,A N Other,SPOILED
85,Rampant Vikings,T Thunderson,SPOILED
86,Abolish exams!,J Smith,VALID
87,Rampant Vikings,T Thunderson,VALID
88,Apple Party,G Bloggs,VALID
89,Party against Homework,A N Other,SPOILED
90,Abolish exams!,J Smith,SPOILED
91,Apple Party,G Bloggs,SPOILED
92,Party against Homework,A N Other,SPOILED
93,Rampant Vikings,T Thunderson,VALID
94,Party against Homework,A N Other,SPOILED
95,Abolish exams!,J Smith,VALID
96,Party against Homework,A N Other,SPOILED
97,Apple Party,G Bloggs,VALID
98,Rampant Vikings,T Thunderson,VALID
99,Party against Homework,A N Other,SPOILED
100,Party against Homework,A N Other,SPOILED
